REF_AREA,REF_AREA_LABEL,TIME_PERIOD,PRICE_BASE,PRICE_BASE_LABEL,gdp_basic_prices,real_estate_total,imputed_rent,real_estate_excl_imputed,imputed_share_of_re,re_share_of_gdp,imputed_share_of_gdp,reliable,HPI,HPI_RPI,HPI_RPI_AVG,HPI_YDH,HPI_YDH_AVG,RHP,RPI,imputed_rent_yoy,real_estate_excl_imputed_yoy,HPI_yoy,RPI_yoy
ITA,Italy,2022,V,Current prices,1793606600000.0,226687800000.0,156528300000.0,70159500000.0,0.6905016502873115,0.12638657774787404,0.08727014050907261,True,106.854232864418,104.15650299005,93.9526241111105,90.8598117456353,92.3226942679133,94.4774204233336,102.591854206776,2.901494727334053,8.242102404917206,3.838510463585476,1.1335633316900573
LTU,Lithuania,2010,V,Current prices,25209752000.0,1689569000.0,990929000.0,698641000.0,0.5864980950763182,0.06702045303738013,0.0393073680375753,True,84.2154605386513,133.107819602374,,108.158142758652,,90.7764238892048,63.1121156556058,,,,
LTU,Lithuania,2011,V,Current prices,28147838000.0,1754035000.0,1018540000.0,735495000.0,0.5806839658273638,0.06231508792966622,0.03618537238987946,True,89.771724429311,138.691535368087,,108.199067404486,,92.7322884797982,64.5683857284194,2.7863752095256045,5.275098369548892,6.59767678656773,2.307433458197261
LTU,Lithuania,2012,V,Current prices,30151418000.0,1843725000.0,1061890000.0000001,781835000.0,0.5759481484494706,0.061148865370112944,0.0352185757897025,True,89.5652239130598,125.623099678203,,103.828719526854,,89.4729772688555,71.1677435583872,4.25609205333124,6.300518698291624,-0.2300284611484904,10.220726065113839
LTU,Lithuania,2013,V,Current prices,31693426000.0,2002632000.0,1138279000.0,864353000.0,0.568391496790224,0.06318761499624559,0.035915303066320445,True,90.6427266068165,119.365946449126,,97.9923972122367,,89.7142238771644,75.7968012898401,7.193682961512016,10.554400864632573,1.203036900574972,6.504432345329514
LTU,Lithuania,2014,V,Current prices,33067677000.000004,2146081000.0000002,1189039000.0,957042000.0,0.554051314931729,0.06489966017268162,0.03595774205729661,True,96.476741191853,113.743730886283,,100.988905059822,,95.4923710958926,84.6537192326861,4.459363653374959,10.723512268714286,6.436274374603568,11.685081417852894
LTU,Lithuania,2015,V,Current prices,33603595999.999996,2266512000.0,1193834000.0,1072678000.0000001,0.5267274119881121,0.06744849569075882,0.035526971577684724,True,100.0,100.0,,100.0,,100.0,100.0,0.40326683985976164,12.082646320642155,3.6519255984617915,18.128300689461586
LTU,Lithuania,2016,V,Current prices,35000531000.0,2408605000.0,1246879000.0,1161726000.0,0.5176768295341079,0.06881624167359061,0.03562457381003734,True,105.408263520659,95.2233170100946,,96.4224152360455,,104.235317630872,110.400505520025,4.4432475536799965,8.301466050389749,5.408263520658996,10.400505520025005
LTU,Lithuania,2017,V,Current prices,37981863000.0,2504325000.0,1314063000.0,1190262000.0,0.5247174388308227,0.06593475944031497,0.03459711810344848,True,114.804037010093,103.346151115481,,102.855189787036,,109.391711908068,110.801580540079,5.388173190822854,2.456345127852866,8.913697252580688,0.3632909271246376
LTU,Lithuania,2018,V,Current prices,40927721000.0,2810385000.0,1420222000.0,1390163000.0,0.5053478438007604,0.06866702888245353,0.03470073498595243,True,123.200058000145,104.85213061586,,101.687078983502,,114.454343011515,117.192380859619,8.078684203116593,16.794705703450163,7.313349955902582,5.7677880481392
