DATAFLOW,FREQ: Frequency of observation,REF_AREA: Reference area,TRANSACTION: Transaction,ACTIVITY: Economic activity,PRODUCT: Product,UNIT_MEASURE: Unit of measure,VALUATION: Valuation,PRICE_BASE: Price base,TABLE_IDENTIFIER: Table identifier,TIME_PERIOD: Time period,OBS_VALUE,COUNTERPART_AREA: Counterpart area,SECTOR: Institutional sector,ACCOUNTING_ENTRY: Accounting entry,CONF_STATUS: Confidentiality status,DECIMALS: Decimals,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,CURRENCY: Currency
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVN: Slovenia,"B1G: Value added, gross",L: Real estate activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,3371.864,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVN: Slovenia,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,2651.294,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,FIN: Finland,"B1G: Value added, gross",L: Real estate activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,29218,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,FIN: Finland,"B1G: Value added, gross",_T: Total - all activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,217622,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,FIN: Finland,"B1G: Value added, gross",L68B: Real estate activities excluding imputed rents,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,10294,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,FIN: Finland,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,18924,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,ITA: Italy,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2011,126417.517,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,ITA: Italy,"B1G: Value added, gross",L68B: Real estate activities excluding imputed rents,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2011,65768.25,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,ITA: Italy,"B1G: Value added, gross",L: Real estate activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2011,192185.767,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,ITA: Italy,"B1G: Value added, gross",_T: Total - all activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2011,1451697.315,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,NLD: Netherlands,"B1G: Value added, gross",L68B: Real estate activities excluding imputed rents,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2011,26051,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,NLD: Netherlands,"B1G: Value added, gross",L: Real estate activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2011,32055,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,NLD: Netherlands,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2011,6004,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
